best_f1,best_acc,best_loss,best_epoch,best_path,training_mode
0.5446,0.7924,0.5194494724273682,8,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_23.pt,fine_tune
0.7797,0.8195,0.5756261944770813,6,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_24.pt,fine_tune

0.413,0.5777,0.4187082052230835,94,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt,train_linear
0.2318,0.2474,0.4189079999923706,60,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt,train_linear
0.6584,0.674,0.5774095058441162,12,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt,train_linear
0.5889,0.7098,0.48850375413894653,34,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_3.pt,train_linear
0.6351,0.6587,0.5990724563598633,9,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_4.pt,train_linear
0.4994,0.6005,0.4000118374824524,88,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_5.pt,train_linear
0.412,0.6123,0.41108542680740356,76,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_6.pt,train_linear
0.6381,0.6974,0.3949734568595886,86,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_7.pt,train_linear
0.6144,0.6741,0.5812337398529053,11,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_8.pt,train_linear
0.6456,0.6755,0.5656405687332153,17,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_9.pt,train_linear
0.3842,0.6188,0.4419504404067993,59,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_10.pt,train_linear
0.4497,0.615,0.5439971685409546,17,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_11.pt,train_linear
0.3562,0.5143,0.4237295389175415,54,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_12.pt,train_linear
