best_f1,best_acc,best_loss,best_epoch,best_path
0.4143,0.7074,0.6871278285980225,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,
0.4094,0.6931,0.6792320609092712,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,
0.4154,0.7106,0.6778225302696228,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,
0.4057,0.6827,0.6865218877792358,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,
0.7752,0.8212,0.49468711018562317,92,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,
0.4301,0.702,0.6887534856796265,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,
0.4108,0.6972,0.6842517256736755,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,
0.4682,0.7248,0.5120247602462769,92,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,
0.5102,0.7318,0.4843299388885498,99,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,
0.5477,0.7501,0.48521220684051514,83,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,
0.4108,0.6972,0.6867130398750305,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,
1.0,1.0,0.5093826055526733,67,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,
0.4054,0.6819,0.6838316321372986,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,
0.415,0.7071,0.6870328187942505,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,
0.4759,0.5434,0.6870921850204468,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,
0.4143,0.7074,0.6871278285980225,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,
0.4094,0.6931,0.6792320609092712,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,
0.4154,0.7106,0.6778225302696228,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,
0.4057,0.6827,0.6865218877792358,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,
0.7752,0.8212,0.49468711018562317,92,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,
