best_f1,best_acc,best_loss,best_epoch,best_path,training_mode
0.9914,0.9927,0.21070989966392517,23,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,random_init
0.4649,0.5945,0.10660119354724884,50,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,random_init
0.4315,0.684,0.1014142706990242,50,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,random_init
0.6892,0.7673,0.1477295458316803,28,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,random_init
0.5284,0.7416,0.1466853767633438,32,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,random_init
0.5672,0.6461,0.14377227425575256,37,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,random_init
0.4154,0.7106,2.66715145111084,0,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,random_init
0.9434,0.951,0.21821866929531097,28,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,random_init
0.9663,0.9722,0.2827332019805908,13,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,random_init
0.7126,0.8052,0.14581650495529175,38,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,random_init
0.9759,0.98,0.32234132289886475,11,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,random_init
0.787,0.8453,0.09774625301361084,58,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,random_init
0.7849,0.8304,0.14307792484760284,31,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,random_init
0.7352,0.7971,0.15080246329307556,34,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,random_init
0.856,0.8864,0.1708454191684723,31,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,random_init
0.985,0.9873,0.2449565827846527,18,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,random_init

0.4054,0.6819,0.6825408935546875,0,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,random_init
0.4143,0.703,0.33726513385772705,60,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,random_init
0.5638,0.7399,0.3318433165550232,56,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,random_init
0.4378,0.714,0.32806700468063354,85,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,random_init
0.4465,0.6849,0.3459910750389099,52,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,random_init
0.4154,0.7106,0.7339411973953247,0,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,random_init
0.914,0.929,0.39556196331977844,62,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,random_init
0.9933,0.9943,0.46796715259552,16,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,random_init
0.5966,0.7608,0.37035542726516724,61,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,random_init
0.9946,0.9955,0.4603480398654938,17,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,random_init
0.6503,0.787,0.366186261177063,64,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,random_init
0.5046,0.728,0.3243221938610077,95,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,random_init
0.6447,0.7819,0.3154006600379944,99,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,random_init
0.6114,0.7651,0.3276020288467407,73,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,random_init
0.9954,0.9961,0.43399202823638916,22,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,random_init
