best_f1,best_acc,best_loss,best_epoch,best_path
0.3622,0.5679,0.6825737953186035,0,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finet0.4538,0.5919,0.4854825735092163,90,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt,train_linear
0.1959,0.2194,0.48315563797950745,92,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt,train_linear
0.5925,0.6185,0.47589606046676636,78,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt,train_linear
0.4895,0.6814,0.4790384769439697,90,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_3.pt,train_linear
0.5774,0.6026,0.4795800745487213,83,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_4.pt,train_linear
0.3628,0.567,0.5303072929382324,45,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_5.pt,train_linear
0.5553,0.6119,0.4726150333881378,97,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_6.pt,train_linear
0.5648,0.6722,0.4730859398841858,93,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_7.pt,train_linear
0.5175,0.6873,0.4690046012401581,91,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_8.pt,train_linear
0.4535,0.6435,0.5017905235290527,90,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_9.pt,train_linear
0.382,0.618,0.6909367442131042,0,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_10.pt,train_linear
0.423,0.6429,0.47338733077049255,89,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_11.pt,train_linear
0.3407,0.5168,0.6905155181884766,0,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_12.pt,train_linear
0.2917,0.4084,0.502189576625824,67,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_13.pt,train_linear
1.0,1.0,0.6908214092254639,0,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_14.pt,train_linear
0.661,0.6694,0.5030988454818726,65,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_15.pt,train_linear
0.6383,0.6399,0.4795859456062317,81,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_16.pt,train_linear
0.444,0.583,0.4650653600692749,89,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_17.pt,train_linear
0.4016,0.6712,0.6906627416610718,0,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_18.pt,train_linear
0.3457,0.5013,0.4748842716217041,74,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_19.pt,train_linear
0.3796,0.5783,0.47374266386032104,86,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_20.pt,train_linear
0.4457,0.6257,0.4734998643398285,97,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_21.pt,train_linear
0.6008,0.7874,0.47726956009864807,87,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_22.pt,train_linear
0.4953,0.8721,0.49705153703689575,70,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_23.pt,train_linear
0.5672,0.7217,0.4711182415485382,98,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_24.pt,train_linear
