best_path,best_loss,best_epoch
./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_2.pt,0.3313937187194824,19,0.5562,0.5685
./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_3.pt,0.5135143995285034,10,0.7949,0.8008
./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_4.pt,0.48786044120788574,11,0.6267,0.627
./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_5.pt,0.5629146695137024,8,0.8218,0.8232

0.755,0.755,0.6746598482131958,8,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_0.pt
0.6605,0.8151,0.6181865930557251,28,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_1.pt
0.3267,0.4094,0.49056297540664673,76,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_2.pt
0.6046,0.724,0.6830248832702637,4,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_3.pt
0.3301,0.4106,0.6093673706054688,22,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_4.pt
0.5475,0.5475,0.5597004890441895,53,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_5.pt
0.4296,0.4661,0.5523456335067749,42,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_6.pt
0.7333,0.7335,0.5714005827903748,38,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_7.pt
0.4594,0.4654,0.5844601392745972,33,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_8.pt
0.5764,0.6187,0.6979423761367798,0,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_9.pt
0.7204,0.7374,0.655275821685791,9,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_10.pt
0.5147,0.5304,0.6742539405822754,5,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetuned_best_11.pt
